day_offset,position,channel,is_required,title,whatsapp_text,reel_script,ads_checklist
9,140,WhatsApp,true,Follow-up VIP: envio de tour + planta + condições,"Conforme prometido: tour completo + planta + detalhes de acabamento. Se fizer sentido, te proponho uma visita guiada. Melhor dia: [dia1] ou [dia2]?","", "Anexos: tour, planta, ficha; CTA direto"
10,150,Ads,true,Campanha Meta (Meio de Funil): remarketing vídeo 7–14 dias,,,"Público: engajados + visitantes; Criativo: diferenciais + prova social; CTA WhatsApp"
11,160,Conteúdo,true,Artigo/post: “Por que [bairro] valorizou nos últimos anos”,,,"Estrutura: dados locais + lifestyle + segurança + escolas + acesso","Inserir CTA para o imóvel; link no perfil"
12,170,Reels,true,Reels 2: “Detalhes que custam caro” (acabamentos),,"Gancho: 'O que encarece um alto padrão de verdade?' Mostrar pedra, marcenaria, esquadrias, iluminação.","Close nos detalhes; texto on-screen; CTA visita"
13,180,CRM,true,Atualizar anúncio com melhores fotos e capa (otimização),,,"Trocar foto capa; revisar título; melhorar descrição; revisar tags"
14,190,Stories,true,Stories 2: prova social (bastidores da visita/feedback),,"Roteiro: 1) bastidor 2) feedback 3) CTA horários","Usar depoimento curto (sem dados pessoais)"
15,200,Email,true,Email para base (se tiver): “Novo alto padrão em [bairro]”,,"","Assunto premium; 5 fotos; CTA agendar; link tour"
16,210,Portais,true,Repost/boost em portais (se aplicável),,,"Reordenar fotos; atualizar descrição; checar mapa/CEP"
17,220,Networking,true,Enviar kit para 10 contatos estratégicos (médicos/advogados/empresários),"Tenho um imóvel alto padrão que combina com seu perfil/cliente. Quer que eu te mande o tour e a ficha?","", "Lista 10; mensagem personalizada; tracking respostas"
18,230,Reels,true,Reels 3: “Suíte master experience” (30–45s),,"Gancho: 'A suíte master é um apartamento dentro da casa.' Mostrar closet/banho/iluminação.","Sequência: porta → closet → banho → janela/vista"
19,240,CRM,true,Revisar objeções e ajustar argumentação (preço, localização, layout),,,"Top 5 objeções + respostas; registrar no CRM"
20,250,Ads,true,Campanha: leads (WhatsApp) com criativo “visita guiada”,,,"Objetivo: Mensagens; CTA direto; horários disponíveis; script atendimento"
21,260,OpenHouse,true,Segundo dia de visitas guiadas (se houver interesse),,, "Checklist: confirmação; experiência; follow-up pós-visita"
22,270,Instagram,true,Carrossel 3: “Área gourmet / piscina / lazer”,,,"Legenda: receber bem; privacidade; noite; CTA visita"
23,280,WhatsApp,true,Follow-up pós-visita: próximos passos,"Foi um prazer te receber. Quer que eu te envie a ficha completa + sugestão de proposta (valores e condições)?","", "Enviar ficha; condições; prazo; documentação"
24,290,Conteúdo,true,Post: “Comparativo: alto padrão vs padrão — o que muda?”,,,"Estrutura: materiais, conforto, custo de manutenção, liquidez"
25,300,CRM,true,Revisar precificação e posicionamento (30 dias),,,"Checklist: comparativos; feedback visitas; ajustar estratégia"
26,310,Reels,true,Reels 4: “Localização e lifestyle” (bairro),,"Gancho: 'Morar aqui muda sua rotina.' Mostrar rua, acessos, serviços premium.","B-roll bairro; mapa animado (simples); CTA visita"
27,320,Networking,true,Contato com 3 construtoras/arquitetos para indicações,"Tenho um alto padrão com potencial para clientes seus. Posso te mandar o material e a comissão de parceria?","", "Lista parceiros; proposta parceria"
28,330,Ads,true,Ajustar criativos com base em performance (trocar 2 criativos),,,"Pausar baixo CTR; duplicar melhor; testar nova capa"
29,340,CRM,true,Relatório 30 dias: leads, visitas, objeções, próximos passos,,"","Resumo: funil; decisões; plano próximo mês"
30,350,Decisão,true,Plano 31–60: intensificar ou reposicionar (estratégia),,,"Se sem visitas: revisar preço/fotos; se com visitas: remarketing + ofertas"
